feature_mentioned,competitor_mentioned,specific_complaint,is_actionable,review_id,review_text,parse_error
music,,,False,0,This sound track was beautiful! It paints the senery in your mind so well I would recomend it even t,
game soundtrack,,,False,1,I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd w,
game,,,False,2,"This soundtrack is my favorite music of all time, hands down. The intense sadness of ""Prisoners of F",
video game music,,,False,3,I truly like this soundtrack and I enjoy video game music. I have played this game and most of the m,
music,,,False,4,"If you've played the game, you know how divine the music is! Every single song tells a story of the ",
Mitsuda,,,False,5,"I am quite sure any of you actually taking the time to read this have played the game at least once,",
self-published book,,"Those 5 star reviews must have been written by Ms. Haddon's family and friends--or perhaps, by herself!",False,6,"This is a self-published book, and if you want to know why--read a few paragraphs! Those 5 star revi",
,,None,False,7,I loved Whisper of the wicked saints. The story was amazing and I was pleasantly surprised at the ch,
,,,False,8,I just finished reading Whisper of the Wicked saints. I fell in love with the caracters. I expected ,
quality,,,False,9,"This was a easy to read book that made me want to keep reading on and on, not easy to put down.It le",
Typographical errors,,poor grammar and a totally pathetic plot add up to absolutely nothing,False,10,"A complete waste of time. Typographical errors, poor grammar, and a totally pathetic plot add up to ",
,,,False,11,"This was a great book,I just could not put it down,and could not read it fast enough. Boy what a boo",
null,null,null,False,12,"I thought this book was brilliant, but yet realistic. It showed me that to error is human. I loved t",
quality,,It is absolute drivel.,False,13,"I guess you have to be a romance novel lover for this one, and not a very discerning one. All others",
shipping,null,This book seems to have been written by a 7th grader with poor grammatical skills for her age!,False,14,I feel I have to write to keep others from wasting their money. This book seems to have been written,
,,,False,15,"It's glaringly obvious that all of the glowing reviews have been written by the same person, perhaps",True
,BY THE SEA,,False,16,"When you hear folks say that they don't make 'em like that anymore, they might be talking about ""BY ",
compression stockings,Jobst UltraSheer,None,False,17,After I had a DVT my doctor required me to wear compression stockings. I wore ugly white TED hose an,
shipping,,they are very difficult to get on for older people and cause a deep ridge in the skin after a day,False,18,"Excellent product. However, they are very difficult to get on for older people. I feel like I've had",
shipping,,sizes are much smaller than what is recommended in the chart,False,19,sizes are much smaller than what is recomended in the chart. I tried to put it and sheer it!. I gues,
compression stocking,,Consistently found these stockings rolled up down by my ankles!,False,20,"This model may be ok for sedentary types, but I'm active and get around alot in my job - consistentl",
shipping,,I thought it was funny that I bought this product without knowing it was a mix.,False,21,I thought it was funny that I bought this product without knowing it was a mix. I read the header ve,
image quality,bootleg dealer,random pixelations combined with muddy light and vague image resolution,False,22,"Rather than scratches and insect droppings, this one has random pixelations combined with muddy ligh",
none,none,"I don't know of any other book that looks at Japanese society from the point of view of its young people poised as they are between their parents' age-old Japanese culture of restraint and obedience to the will of the community, and their peers'",False,23,I thoroughly enjoyed Rising Sons and Daughters. I don't know of any other book that looks at Japanes,
hair quality,,none,False,24,"I heard a song or two and thought same o same o,but when i listened to songs like ""blue angel"",""lann",
battery,,it has a huge problem securing smaller AAA batteries,True,25,"I have had the charger for more than two years. It charges AA batteries just fine, but has a huge pr",
lights,,Instructions say the lights stay on while the battery charges but do not turn off when done.,False,26,I bought one of these chargers..the instructions say the lights stay on while the battery charges...,
battery,,the charge only lasts a very short time,False,27,"I read the reviews,made my purchase and was very disappointed. The charger is convenient by charging",
veil,,didn,False,28,"I was excited to find a book ostensibly about Muslim feminism, but this volume did not live up to th",
shipping,,It's a bit awkward to work,False,29,This VCR/DVD was an early Christmas present to myself after deciding to join the rest of the world i,
transitions,,"the unit sends out clicks to the receiver once in a while, the transition between scenes is not always smooth",True,30,"I am a big JVC fan, but I do not like this model, I was suspiscious when I saw several units in the ",
VHS,,None,False,31,"I'm a JVC nut...I have 3 JVC televisions, one VCR, one bookshelf audio system and car audio system. ",
shipping,,"utterly, completely stupid.",False,32,"The plot is so ridiculous, I have to wonder if they even read the script before making this film. Th",
,,,False,33,Hotel Babylon is not just good TV...it's great TV!!!! The show features some incredible acting from ,
shipping,,do not waste your money,False,34,"If you have even casually looked into applying to law school, have already read everything there is ",
quality,,sounds like a fourth grade music class,False,35,"When I first ordered the CD, I figured it was going to be a hip, cool daddy vibe CD. However much to",
,,"This book is a lucid, well argued explanation of the simple fact that we have become so totally focused on our individual RIGHTS that we have completely ignored, and even mocked, our personal and public responsibil",False,36,Wondering what the hell has happened to the moral aspect of modern American culture ? This book is a,
,,,False,37,Larry's work for the Muse label in the late 80s and early 90s found him exploring the rich catalog o,
shipping,,it does not work on Mac OS as advertised,False,38,"It clearly says on line this will work on a Mac OS system. The disk comes and it does not, only Wind",
mouse,,"too hard to use mouse in games, keyboard controls are not suitable for children",True,39,My three year old son was very excited to get this but after two attempts at playing it hasn't been ,
shipping,,there is no choice of games you have to do every thing in order,False,40,"This game makes you do the same things over and over, it never holds my son's attention long enough ",
battery,Ed Wood,"repeatedly attempting Allman's recipes and having to throw out 8-10 cups of flour and miscellaneous ingredients nearly every time--and then comparing to Ed Wood's recipes which work flawlessly, and Lisa Rayner's very excellent Wild Berry Muffins",False,41,"As a former Alaskan, I didn't want to have to do this. But after repeatedly attempting Allman's reci",
sourdough starter,,null,False,42,REad most of the book while visiting my brother in Alaska. Loved it. I am going to be making my sour,
stand mixer,,,False,43,This book is worth to keep in your collection as it does not only advise what to do with sourdough b,
quality,null,null,False,44,"got this for my daughter in NC, she is now making prefect bread. Wish she lived closer to make me so",
mp3,,,False,45,One of these 26 songs played as background music on a YouTube video of some kind of gymnastic or dan,
DVD player,FM,"The DVD player rattled, picture quality wasn't great and screen got a line.",False,46,"My experience: I got this from FM, not Amazon. The DVD player rattled pretty loudly sometimes (but n",
remote control,,It is hard to read the functions of the keys due to color choices.,False,47,"Light weight, space saving very attractive design. Sharp Picture, Good sound quality and quick respo",
DVD player,,the DVD player would not work,False,48,"I bought this for my wife for her birthday,and had toreturn it because the DVD palyer would not work",
recall,Sony,The TV does not have a recall function and its remote does not either.,True,49,"This TV is set so that it is not capable of a ""recall"" function. If you want to flash back between c",
